zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
48017,STANDARD,0,Clawson,,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.53,-83.15,10090
48021,STANDARD,0,Eastpointe,East Detroit,,MI,Macomb County,America/Detroit,"313, 586",NA,US,42.46,-82.94,29230
48022,STANDARD,0,Emmett,,Emmett Township,MI,St. Clair County,America/Detroit,810,NA,US,42.99,-82.76,2460
48023,STANDARD,0,Fair Haven,Ira,"Ira Township, Ira Twp",MI,St. Clair County,America/Detroit,"586, 810",NA,US,42.7,-82.66,4490
48025,STANDARD,0,Franklin,"Beverly Hills, Bingham Farms",Southfield Township,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.51,-83.3,14600
48026,STANDARD,0,Fraser,,,MI,Macomb County,America/Detroit,586,NA,US,42.53,-82.94,13150
48027,STANDARD,0,Goodells,Wales,Wales Township,MI,St. Clair County,America/Detroit,"586, 810",NA,US,42.93,-82.66,2970
48028,STANDARD,0,Harsens Island,Harsens Is,,MI,St. Clair County,America/Detroit,"226, 519, 548, 810",NA,US,42.59,-82.57,940
48030,STANDARD,0,Hazel Park,,,MI,Oakland County,America/Detroit,"248, 313, 947",NA,US,42.46,-83.09,11970
48032,STANDARD,0,Jeddo,"Grant Township, Grant Twp",Worth Township,MI,St. Clair County,America/Detroit,810,NA,US,43.15,-82.58,2040
48033,STANDARD,0,Southfield,,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.46,-83.28,13690
48034,STANDARD,0,Southfield,,,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.5,-83.29,10520
48035,STANDARD,0,Clinton Township,Clinton Twp,,MI,Macomb County,America/Detroit,586,NA,US,42.56,-82.91,29570
48036,STANDARD,0,Clinton Township,Clinton Twp,,MI,Macomb County,America/Detroit,586,NA,US,42.58,-82.91,19670
48037,PO BOX,0,Southfield,,,MI,Oakland County,America/Detroit,248,NA,US,42.47,-83.25,830
48038,STANDARD,0,Clinton Township,Clinton Twp,,MI,Macomb County,America/Detroit,586,NA,US,42.61,-82.94,40180
